nohup: ignoring input
Mon Jun  1 00:55:56 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:34:01.212, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 253.22 W
Mon Jun  1 01:34:31 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:34:31.283, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 241.69 W
Mon Jun  1 01:35:01 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:35:01.355, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 263.26 W
Mon Jun  1 01:35:31 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:35:31.407, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 218.46 W
Mon Jun  1 01:36:01 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:36:01.499, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 283.21 W
Mon Jun  1 01:36:31 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:36:31.562, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 263.40 W
Mon Jun  1 01:37:01 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:37:01.627, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 276.58 W
Mon Jun  1 01:37:31 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:37:31.681, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 231.13 W
Mon Jun  1 01:38:01 CST 2026
